Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
96,LMB,Industrials,Engineering & Construction,NASDAQ,167.48,98,96,88,35
97,PMTS,Financial Services,Credit Services,NASDAQ,167.26,98,95,87,40
98,BELFA,Technology,Electronic Components,NASDAQ,166.87,98,99,98,97
99,FSLR,Technology,Solar,NASDAQ,166.47,98,99,99,47
100,IBEX,Technology,Software—Application,NASDAQ,166.43,98,96,71,87
101,SGFY,Healthcare,Health Information Services,NYSE,166.26,98,99,99,34
102,TDW,Energy,Oil & Gas Equipment & Services,NYSE,166.21,98,99,98,98
103,UFPT,Consumer Cyclical,Packaging & Containers,NASDAQ,165.84,98,97,95,96
104,MEC,Industrials,Metal Fabrication,NYSE,164.48,98,89,13,20
105,LPG,Energy,Oil & Gas Midstream,NYSE,164.34,98,98,94,98
106,PSTX,Healthcare,Biotechnology,NASDAQ,164.0,98,94,78,5
107,RENN,Consumer Cyclical,Auto & Truck Dealerships,NYSE,163.92,98,93,98,99
108,PXSAP,Industrials,Marine Shipping,NASDAQ,163.85,98,96,97,96
109,EURN,Energy,Oil & Gas Midstream,NYSE,163.83,98,98,99,97
110,PBF,Energy,Oil & Gas Refining & Marketing,NYSE,163.37,98,99,98,99
111,PBYI,Healthcare,Biotechnology,NASDAQ,162.56,98,92,21,33
112,ROIV,Healthcare,Biotechnology,NASDAQ,162.06,98,81,8,21
113,BTU,Energy,Thermal Coal,NYSE,161.96,98,98,93,99
114,EDAP,Healthcare,Medical Devices,NASDAQ,161.75,98,97,96,83
115,GCBC,Financial Services,Banks—Regional,NASDAQ,161.45,98,98,96,97
116,PLRX,Healthcare,Biotechnology,NASDAQ,161.01,98,99,99,27
117,WNC,Industrials,Farm & Heavy Construction Machinery,NYSE,160.84,98,97,76,60
118,HIL,Industrials,Engineering & Construction,NYSE,160.79,97,99,99,45
119,STLD,Basic Materials,Steel,NASDAQ,160.72,97,96,84,82
120,GEO,Real Estate,REIT—Healthcare Facilities,NYSE,160.67,97,89,93,76
121,JILL,Consumer Cyclical,Apparel Retail,NYSE,160.3,97,97,58,95
122,OYST,Healthcare,Biotechnology,NASDAQ,158.87,97,98,78,2
123,BBW,Consumer Cyclical,Specialty Retail,NYSE,158.81,97,55,24,79
124,SLVM,Basic Materials,Paper & Paper Products,NYSE,158.79,97,90,89,96
125,MANU,Consumer Cyclical,Leisure,NYSE,158.3,97,62,82,42
126,SMHI,Industrials,Marine Shipping,NYSE,158.08,97,96,94,98
127,BCAB,Healthcare,Biotechnology,NASDAQ,157.63,97,97,99,3
128,POWL,Industrials,Electrical Equipment & Parts,NASDAQ,157.46,97,76,64,81
129,DGII,Technology,Communication Equipment,NASDAQ,157.34,97,98,98,93
130,YPF,Energy,Oil & Gas Integrated,NYSE,156.89,97,99,99,40
131,KRTX,Healthcare,Biotechnology,NASDAQ,156.78,97,98,99,71
132,AMR,Basic Materials,Coking Coal,NYSE,156.02,97,98,98,99
133,FRO,Energy,Oil & Gas Midstream,NYSE,155.85,97,98,98,92
134,PRQR,Healthcare,Biotechnology,NASDAQ,155.83,97,40,9,8
135,BTRS,Technology,Software—Application,NASDAQ,155.57,97,97,79,18
136,KNSA,Healthcare,Biotechnology,NASDAQ,155.52,97,97,62,62
137,CALX,Technology,Software—Application,NYSE,155.3,97,95,96,35
138,YGMZ,Industrials,Trucking,NASDAQ,155.2,97,27,96,41
139,CRT,Energy,Oil & Gas E&P,NYSE,154.88,97,97,98,99
140,NAT,Industrials,Marine Shipping,NYSE,154.76,97,98,98,74
141,DHT,Energy,Oil & Gas Midstream,NYSE,154.63,97,98,98,82
142,BPT,Energy,Oil & Gas Refining & Marketing,NYSE,154.58,97,99,99,99
143,EVI,Industrials,Industrial Distribution,NYSE MKT,154.52,97,87,34,8
144,SJT,Energy,Oil & Gas E&P,NYSE,154.46,97,95,99,99
145,GERN,Healthcare,Biotechnology,NASDAQ,154.46,97,97,99,75
146,TGS,Energy,Oil & Gas Integrated,NYSE,154.31,97,97,97,89
147,NTNX,Technology,Software—Infrastructure,NASDAQ,154.25,97,94,83,11
148,CVLG,Industrials,Trucking,NASDAQ,154.21,97,97,92,73
149,FTI,Energy,Oil & Gas Equipment & Services,NYSE,154.12,97,98,95,67
150,MOMO,Communication Services,Internet Content & Information,NASDAQ,153.99,97,49,17,22
151,CLFD,Technology,Communication Equipment,NASDAQ,153.91,97,92,98,93
152,TERN,Healthcare,Biotechnology,NASDAQ,153.86,97,97,99,9
153,TAL,Consumer Defensive,Education & Training Services,NYSE,153.44,97,92,94,89
