Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
132,Entertainment,Communication Services,86.46,19,34,24,17,"WWE,BATRA,BATRK,MCS,RDI,MSGS,LVO,LBRDP,LYV,HMTV,CNK,EDR,RDIB,WOW,IMAX,HOFV,RSVRW,DIS,AESE,RSVR,MSGE,WMG,LBTYK,GNUS,DLPN,LBTYB,LBTYA,LBRDA,CMCSA,NFLX,LBRDK,CHTR,CIDM,DISH,HUYA,AMC,CSCW,ROKU,KUKE"
133,Home Improvement Retail,Consumer Cyclical,86.37,18,8,19,25,"HVT,LOW,FND,HD,LESL,TTSH,LL,GRWG"
134,Farm & Heavy Construction Machinery,Industrials,86.27,17,25,27,28,"TWI,LNN,WNC,DE,PCAR,ALG,CAT,GENC,TEX,AGCO,REVG,MNTX,CMCO,OSK,CNHI,SHYF,HY,ARTW,ASTE,IDEX,MTW,LEV,ZEV,XOS,UGRO,HYFM"
135,Real Estateâ€”Development,Real Estate,85.97,17,8,91,3,"ARL,AEI"
136,Beverages—Wineries & Distilleries,Consumer Defensive,85.95,16,23,35,22,"STZ,DEO,NAPA,WVVIP,WVVI,VWE,EAST"
137,Drug Manufacturers—Specialty & Generic,Healthcare,85.89,16,22,11,6,"SXTC,TXMD,PRPH,OPTN,ASRT,DRRX,SUPN,HROW,AVDL,TEVA,EOLS,CPIX,PRGO,IRWD,COLL,KMDA,CTLT,PCRX,TAK,RDY,DVAX,ZOM,SLDB,ZTS,HUGE,SCYX,PAHC,PROC,INCR,VTRS,EGRX,CRON,TARO,SNOA,ZYNE,CYTH,THTX,OGI,PTPI,PETQ,EBS,LCI,HAPP,RMTI,NLTX,XXII,PRFX,FLGC,GHSI,ELAN,MDVL,TLRY,JUPW,ATNX,RDHL,SNDL,CPHI,ORGO,EVOK,QLI,CLVR,CGC,HEXO,YCBD,ENDP,NEPT,BHC,IMCC,PLXP"
138,Software—Infrastructure,Technology,85.8,15,10,12,17,"EVOP,PING,STEM,QLYS,TUFN,MNDT,PANW,BOX,SNPS,DOX,TIXT,GDDY,VHC,CRWD,SPSC,ATEN,KNBE,MDB,WEX,CSGS,DBX,NEWR,NTCT,VRNT,CYBR,VRSN,STER,EVCM,ORCL,PAYA,BKI,CHKP,VMW,SPLK,MSFT,CFLT,FIVN,NLOK,BASE,DAVA,FFIV,FOUR,ZS,TENB,TOST,BB,FTNT,S,TCX,BLIN,EVTC,NET,BL,DOCN,SQSP,SUMO,ETWO,EEFT,OSPN,AVPT,CLBT,PAGS,RDWR,OKTA,SCWX,WIX,STNE,SFET,SWI,VRNS,OPRA,PLTR,CETX,NTNX,DTSS,ZUO,SQ,PATH,YEXT,MFGP,LVOX,KPLT,RPAY,MQ,VERI,NVEI,CYRN,RXT,CETXP,IRNT,BAND,TAOP,CGNT,REKR,TUYA,GBOX,ZENV,SOS"
139,Credit Services,Financial Services,85.58,14,27,28,32,"CPSS,EZPW,JT,MGI,PMTS,ENVA,FCFS,QD,FINV,AGM,NNI,OCSL,ORCC,SLMBP,MFIN,CACC,V,MA,GSBD,BBDC,ATLCP,AXP,NAVI,PRAA,DFS,WU,SNFCA,SYF,IX,NICK,PYPL,SLM,OMF,QFIN,COF,XYF,ALLY,LC,WRLD,RM,SUNL,ATLC,DXF,NISN,LU,LYL,LX,SOFI,GDOT,CURO,AIHS,LPRO,SNTG,LMFA,ELVT,PT,YRD,FOA,OPRT,UPST"
140,Diagnostics & Research,Healthcare,85.29,14,14,3,6,"LNTH,APDN,VIVO,AXDX,STIM,ANIX,BNGO,OLK,STRRP,AKU,CELC,MEDP,DHR,TMO,IQV,NOTV,SENS,CSTL,PMD,ICLR,A,TRIB,MYGN,WAT,QGEN,MTD,DGX,RDNT,NRC,BMRA,STRR,ENZ,NTRA,LH,DXCM,GENE,BDSX,PKI,MXCT,SHC,GH,PRPO,TWST,ME,SYNH,CEMI,HTGM,ONVO,NEO,IDXX,QDEL,OPGN,OPK,CRL,BVS,HSKA,CO,SERA,FLGT,NDRA,CHEK,AWH,PACB,ILMN,XGN,CDNA,DRIO,NEOG,CODX,VNRX,LHDX,PHG,EXAS,BNR,PSNL,DMTK,NVTA,MOTS,BIOC,GTH,RNLX,TTOO,CNTG,QTNT"
141,Softwareâ€”Application,Technology,85.25,13,7,4,7,"AEYE,AGYS,ABST,ALRM,APPF,AMSWA,ADSK,AMST,ALIT,ALKT,ANSS,AGIL,AGMH,ACVA,APPS,ASAN,APP,API,ANY"
142,Medical Devices,Healthcare,85.21,12,14,5,11,"TMDX,SRTS,SWAV,XAIR,PETV,NVNO,AXNX,PRCT,SILK,CUTR,CLPT,BFLY,NNOX,EAR,VMD,MASS,MOVE,EDAP,AHCO,APEN,ZYXI,APYX,AZYO,KIDS,PODD,ESTA,NMTC,INSP,TMCI,NARI,RXST,QIPT,IRMD,AXGN,AFIB,SIBN,INGN,BSX,VRAY,RWLK,ECOR,FONR,TELA,SMLR,ABMD,INMD,STE,EW,ABT,TMDI,ASXC,VIVE,GMED,LIVN,VREX,ZBH,AVNS,IINN,ARAY,BRKR,ATEC,SYK,GBS,NUVA,ELMD,PEN,SINT,NVCN,MDT,ANIK,BIO,LUNG,LNSR,IART,ITGR,SRDX,MDXG,RCEL,PAVM,DYNT,PROF,SSKN,CNMD,NVRO,SNN,CSII,EYES,DCTH,TLIS,AHPI,RBOT,OFIX,BWAY,BSGM,LUCD,CTSO,SGHT,MDGS,SDC,AEMD,IRIX,XTNT,NUWE,TCMD,ALGN,SPNE,BTCY,IVC,OM,NMRD,NAOV,INVO,VVOS,NPCE,TNDM,BIOL,MYO,OWLT,ISO,SRGA,CFMS,AVGR,BBLGW,THMO,QTRX,RSLS,VERO,SIEN,RMED,DNAY,HSDT,VAPO"
143,Insuranceâ€”Property & Casualty,Financial Services,84.83,12,62,85,68,"AFG,ALL,ARGO"
144,Other Industrial Metals & Mining,Basic Materials,84.65,11,6,44,50,"LAC,TECK,MTRN,GSM,PLL,PLM,BHP,NMG,SLI,XPL,MP,RIO,UAMY,VALE,NAK,WWR,EMX,WRN,CMP,NEXA,LGO,CHNR,FURY,TGB,USAS,TMQ,EXN,TMC,SMTS,GPL"
145,Insurance Brokers,Financial Services,83.65,11,16,13,24,"ERIE,AJG,BRP,BRO,MMC,AON,CRVL,HUIZ,TIRX,FANH,EHTH,SLQT,GOCO,RELI"
146,Gambling,Consumer Cyclical,83.11,10,2,2,13,"AGS,CPHC,CHDN,EVRI,GAMB,IGT,ACEL,DKNG,SBET,GMBL,RSI,GAN,EBET,ELYS"
147,Apparel Manufacturing,Consumer Cyclical,82.81,9,18,16,27,"OXM,CPRI,KTB,LEVI,RL,GIL,XELB,COLM,VNCE,LAKE,JRSH,PVH,VFC,GOOS,FIGS,HBI,SGC,DLA,UA,UAA,EVK"
148,Auto Manufacturers,Consumer Cyclical,82.71,9,12,6,8,"TSLA,LI,TTM,F,VLCN,HMC,RACE,WKHS,TM,GM,NIO,STLA,PTRA,NKLA,SOLO,RIDE,FSR,GOEV,BLBD,AYRO,XPEV,NIU,GP,ARVL,HYZN"
149,REIT—Office,Real Estate,82.54,8,26,51,77,"EQC,CMCT,OFC,GNL,PSTL,DEA,DLR,JBGS,WRE,OPI,CIO,PGRE,KRC,CUZ,HIW,PDM,BXP,VNO,SLG,BDN,DEI,HPP,FSP,NYC"
150,Airlines,Industrials,82.1,8,9,34,30,"SAVE,ULCC,CPA,CEA,ZNH,ALK,HA,DAL,UAL,LUV,AAL,RYAAY,SKYW,SNCY,JBLU,GOL,AZUL,ALGT,VLRS,MESA"
151,Software—Application,Technology,80.85,7,3,4,10,"PBTS,INTZ,AZPN,CALX,PCTY,CDNS,MODN,FICO,MANT,INST,RCAT,SSTI,BTRS,PDFS,PAYC,NATI,TEAM,MANH,PCYG,ZI,PWSC,TSRI,PRGS,CTXS,CIH,DUOT,AYX,BILL,TTD,DV,SPT,DSGX,IMMR,SSNT,PTC,PCOR,INTU,IBEX,FROG,ESTC,WKME,BSY,NRDY,MGIC,GLOB,SEMR,VERX,TYL,OMQS,PLUS,UBER,NICE,ESMT,SNCR,NTWK,YMM,IDN,CXM,PD,SRAD,AVLR,NOW,MNDO,EGAN,ECOM,CVLT,KARO,RMNI,CRM,DDOG,AUUD,CDAY,WTRH,BMBL,JAMF,OTEX,PAR,PHUN,WFCF,YOU,MSTR,PUBM,MITK,BLKB,SSNC,DT,GVP,BMTX,ZETA,GWRE,BCOV,MNDY,SPNS,RAAS,KBNT,BSQR,NCNO,EBIX,SNOW,WDAY,ENV,HUBS,WK,ASUR,SAP,RSKD,ZEN,BNFT,RDVT,YALA,SMAR,U,MIXT,DBD,BIGC,LAZR,FRSH,RPD,AWRE,CREX,PRO,JG,MYSZ,DOMO,DCBO,FTFT,OLB,QTWO,ONTF,SMSI,MRIN,CUEN,UPLD,VERB,COIN,OCFT,MTLS,PALT,RIOT,DSP,SEAC,LSPD,MOGO,VQS,EVBG,MTTR,INTA,COUP,ZM,SHOP,VTEX,LYFT,XM,OPFI,BTBT,CLSK,FSLY,DOCU,JFU,DCT,OLO,EB,PEGA,OBLG,BLND,LPSN,SMRT,MNTV,INPX,KC,IDBA,CRNC,COMP,EGHT,RNG,ZDGE,QUMU,MAPS,IFBD,PRCH,LTCH,MTC,BRQS,OG,OTMO,AVYA,XELA,QH"
152,Softwareâ€”Infrastructure,Technology,80.84,6,6,7,20,"ARBE,AKAM,ALTR,ADBE,ACIW,APPN,ALF,ARQQ,ALLT"
153,Internet Content & Information,Communication Services,80.16,6,1,2,4,"LTRPB,CANG,LOV,FENG,KRKR,TC,ATHM,YELP,SOHU,JFIN,PERI,BIDU,TWTR,THRY,GOOG,GOOGL,TTGT,NTES,TME,GENI,SCOR,ABNB,PINS,UXIN,ATY,TRVG,IZEA,IQ,SSTK,SPOT,LTRPA,EVER,LZ,CMCM,DAO,MAX,ANGI,CARG,ZG,Z,DASH,MOMO,TRUE,SMWB,DOYU,LIZI,IAC,WB,YY,GRPN,MARK,MTCH,FVRR,QTT,ZH,CRTD,GAIA,TWLO,SNAP,GROM,AUTO,CDLX,LKCO,YNDX"
154,Gold,Basic Materials,79.49,5,11,48,75,"TRX,AGI,GORO,AUY,FNV,SAND,RGLD,ORLA,HMY,CMCL,OR,GAU,AEM,BTG,SA,AU,AAU,GFI,GOLD,HL,VGZ,DRD,NG,WPM,SSRM,NEM,GLDG,SBSW,KGC,EGO,NFGC,THM,USAU,CDE,PZG,EQX,CGAU,IAG,NGD"
155,Aluminum,Basic Materials,78.95,4,11,53,98,"AA,CSTM,KALU,ACH,CENX"
156,Pharmaceutical Retailers,Healthcare,78.26,4,0,0,0,"YI,RAD,CJJD,SSY,PETS,WBA,LFMD,LFMDP,MEDS,BIMI,HITI,GNLN"
157,Real Estate—Diversified,Real Estate,78.25,3,19,56,78,"NEN,STRS,CHCI,JOE,HHC,TPHS,VINO"
158,Textile Manufacturing,Consumer Cyclical,78.14,3,17,16,29,"AIN,CRWS,UFI,CULP,DXYN"
159,Internet Retail,Consumer Cyclical,77.91,2,0,0,0,"QRTEB,APRN,GLBE,CHWY,VIPS,LQDT,YJ,SECO,AMZN,PDD,ETSY,CPNG,MELI,JD,DIBS,JMIA,BABA,NHTC,EBAY,PRTS,LITB,POSH,QRTEP,BZUN,QRTEA,DADA,ID,RERE,OSTK,FTCH,NEGG,W,CVNA,IPW,TKAT,MOHO,WISH,RVLV,SFT,MOGU,OCG,HEPS,IMBI,TDUP,JWEL,AKA,OZON"
160,Silver,Basic Materials,74.35,1,3,23,36,"MAG,EXK,AG,SVM,PAAS,FSM"
161,Real Estate—Development,Real Estate,74.01,1,19,48,15,"INDT,LSEA,HCDIP,FOR,FPH,HCDI,XIN"
162,Electronic Gaming & Multimedia,Communication Services,73.28,0,4,1,1,"ATVI,INSE,EA,RBLX,AVID,RNWK,NGMS,TTWO,SCPL,BRAG,BILI,GIGM,GRVY,GDEV,YVR,MYPS,PLTK,BHAT,SE,EGLX,SLGG,SKLZ,NCTY,VS,GAME,MSGM"
163,Other Precious Metals & Mining,Basic Materials,71.27,0,1,38,16,"HYMC,NEWP,MMX,GATO,SILV,ASM,GROY,PLG,PPTA,BVN,AUMN,MTA,ITRG,AXU,MUX"
